Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories,Notes (*),Product Page,Product Page 2,Product Page 3
Acer,SA100,SATA/AHCI,"2.5""",120GB-1.92TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560/500,Entry-Level SATA,,Acer SA100,,
Acer,FA100,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Innogrit IG5216,,No,Yes,Micron,TLC,176,3300/2700,Entry-Level NVMe,,Acer FA100,,
Acer,GM3500,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96+,3400/3000,Mid-Range NVMe,,Acer GM3500,,
Acer,GM7000 (Predator),x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400/6400,High-End NVMe,,Acer GM7000 Predator,,
Acer,RE100,SATA/AHCI,"2.5""",128GB-4TB,,,Yes,N/A,,TLC,,560/520,,1TB max M.2,,,
ADATA,ATOM 30,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,,No,Yes,,,,2500/2000,Entry-Level NVMe,,ADATA ATOM 30,,
ADATA,ATOM 40,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,,,,,,,,3500/3000,Mid-Range NVMe,,ADATA ATOM 40,,
ADATA,ATOM 50,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5220,,No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe,,ADATA ATOM 50,,
ADATA,Falcon,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100/1500,Entry-Level NVMe,,ADATA Falcon,,
ADATA,Legend 710,x4 PCIe 3.0/NVMe,M.2,,,,,,,,,2400/1800,Entry-Level NVMe,,,,
ADATA,Legend 740,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,,,,,,,,2500/2000,Entry-Level NVMe,,ADATA Legend 740,,
ADATA,Legend 750,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,,,,,,,,3500/3000,Mid-Range NVMe,,ADATA Legend 750,,
ADATA,Legend 840,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5220,,No,Yes,,TLC,176,5000/4500,Mid-Range NVMe,,ADATA Legend 840,,
ADATA,Legend 850,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000/4500,Mid-Range NVMe,,ADATA Legend 850,,
ADATA,Legend 960,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,,,,7400/6800,High-End NVMe,,ADATA Legend 960,,
ADATA,Premium,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400/6800,High-End NVMe,,ADATA Premium,,
ADATA,Project Blackbird,x4 PCIe 5.0/NVMe,M.2,,InnoGrit IG5666,,,,,,,,,,,,
ADATA,Project Nighthawk,x4 PCIe 5.0/NVMe,M.2,,SMI SM2508,,,,,,,14000/?,,,,,
ADATA,S20G,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,,TLC,,2500/1800,Entry-Level NVMe,,ADATA S20G,,
ADATA,S40G,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500/3000,Mid-Range NVMe,Heatsink + RGB; SX8100 Alt. (4TB QLC),ADATA S40G,,
ADATA,S50,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,Heatsink,ADATA S50,,
ADATA,S50 Lite,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,Micron,TLC,96,3900/3200,Mid-Range NVMe,Budget Gen4,ADATA S50 Lite,,
ADATA,S70/S70 Blade,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Innogrit IG5236,"Quad-core, 8-ch",Yes,No,,TLC,96,7400/6400,High-End NVMe,176L change/upgrade,GAMMIX S70,ADATA S70 Blade,
ADATA,SC680,USB 3.2 Gen 2x1,USB-C,240GB-2TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC/QLC,64,530/460,Entry-Level SATA,Portable,ADATA SC680,,
ADATA,SD600Q,USB 3.2 Gen 1x1,USB-A,240GB-960GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Micron,QLC,64,440/430,Entry-Level SATA,Portable,ADATA SD600Q,,
ADATA,SD700,USB 3.2 Gen 1x1,USB-A,256GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,440/430,Entry-Level SATA,Portable,ADATA SD700,,
ADATA,SE760,USB 3.2 Gen 2x1,USB-C,256GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,64,1000/1000,Entry-Level NVMe,Portable,ADATA SE760,,
ADATA,SE800,USB 3.2 Gen 2x1,USB-C,512GB-1TB,InnoGrit IG5208,4-ch,No,Yes,Micron,TLC,64,1000/1000,Entry-Level NVMe,Portable,ADATA SE800,,
ADATA,SE880,USB 3.2 Gen 2x2,USB-C,500GB-1TB,,,,,,,,2000/2000,,Portable,ADATA SE880,,
ADATA,SE900G,USB 3.2 Gen 2x2,USB-C,512GB-2TB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96,2000/2000,Mid-Range NVMe,Portable,ADATA SE900G,,
ADATA,SE920,USB 4,USB-C,,,,,,,,,,,Portable,,,
ADATA,SU630/SU635,SATA/AHCI,"2.5""",240GB-960GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Micron,QLC,64,520/450,Entry-Level SATA,,ADATA SU630,,
ADATA,SU650/SU655,SATA/AHCI,"2.5""",60GB-960GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,32/64,520/450,Entry-Level SATA,Change: Samsung 64L,ADATA SU650,,
ADATA,SU670,,,,Realtek RTS5735DLQ,,,,,,,550/440,Entry-Level SATA,,,,
ADATA,SU720,SATA/AHCI,"2.5""",500GB-2TB,,,No,N/A,Micron,QLC,,520/450,Entry-Level SATA,,ADATA SU720,,
ADATA,SU740,SATA/AHCI,"2.5""",500GB-2TB,,,No,N/A,Micron,QLC,,520/450,Entry-Level SATA,,ADATA SU740,,
ADATA,SU750/SU760,SATA/AHCI,"2.5""",256GB-1TB,Realtek RTS5733DMQ,2-ch,No,N/A,Micron,TLC,64,550/520,Entry-Level SATA,,ADATA SU750,ADATA SU760,
ADATA,SU800/SX850,SATA/AHCI,"2.5"" & M.2 (1TB)",128GB-2TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,560/520,Mid-Range SATA,Change: Samsung 64L,ADATA SU800,,
ADATA,Swordfish,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,1800/1200,Entry-Level NVMe,,ADATA Swordfish,,
ADATA,SX950U,SATA/AHCI,"2.5""",120GB-960GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,560/520,Mid-Range SATA,<=240GB SKU uses 32L NAND,ADATA SX950U,,
